age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income,workclass2
19,Private,199441,HS-grad,9,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,<=50K,Private
44,Local-gov,124692,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,35,United-States,>50K,Local-gov
47,Local-gov,287480,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,<=50K,Local-gov
29,Private,54411,HS-grad,9,Never-married,Farming-fishing,Not-in-family,White,Male,0,0,50,?,<=50K,Private
32,Federal-gov,111567,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K,Federal-gov
39,Private,262841,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,>50K,Private
73,?,90557,11th,7,Married-civ-spouse,?,Husband,White,Male,0,0,8,United-States,<=50K,?
46,Private,285750,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,4064,0,55,United-States,<=50K,Private
61,State-gov,124971,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,?,>50K,State-gov
22,Private,183970,HS-grad,9,Never-married,Handlers-cleaners,Own-child,Black,Male,0,0,40,United-States,<=50K,Private
32,Private,205019,Assoc-acdm,12,Never-married,Sales,Not-in-family,Black,Male,0,0,50,United-States,<=50K,Private
62,Local-gov,206063,Some-college,10,Divorced,Other-service,Not-in-family,White,Male,0,0,45,United-States,<=50K,Local-gov
22,Private,65225,10th,6,Never-married,Other-service,Own-child,White,Female,0,0,40,United-States,<=50K,Private
19,Private,120251,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Female,0,0,14,United-States,<=50K,Private
33,Private,41610,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,<=50K,Private
29,State-gov,243875,Assoc-voc,11,Divorced,Adm-clerical,Own-child,White,Male,0,0,40,United-States,<=50K,State-gov
61,Self-emp-not-inc,163174,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,35,United-States,>50K,Self-emp-not-inc
47,Self-emp-inc,205100,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,38,Germany,<=50K,Self-emp-inc
36,Private,549174,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K,Private
44,Self-emp-not-inc,361280,Some-college,10,Married-civ-spouse,Sales,Husband,Asian-Pac-Islander,Male,0,0,80,Philippines,>50K,Self-emp-not-inc
36,Private,179358,HS-grad,9,Widowed,Handlers-cleaners,Unmarried,White,Female,0,0,30,United-States,<=50K,Private
33,Private,233107,9th,5,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,33,Mexico,<=50K,Private
42,Private,91836,10th,6,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K,Private
56,Private,98630,7th-8th,4,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,40,United-States,<=50K,Private
26,Private,272669,Bachelors,13,Never-married,Sales,Not-in-family,Asian-Pac-Islander,Male,0,0,20,South,<=50K,Private
69,Private,114801,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,0,0,20,United-States,<=50K,Private
41,Private,184378,HS-grad,9,Separated,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,<=50K,Private
38,Private,450924,12th,8,Married-civ-spouse,Other-service,Husband,White,Male,3942,0,40,United-States,<=50K,Private
69,Self-emp-not-inc,69306,Some-college,10,Married-civ-spouse,Other-service,Wife,White,Female,0,0,15,United-States,<=50K,Self-emp-not-inc
33,Private,37274,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,65,United-States,<=50K,Private
36,Private,190350,HS-grad,9,Never-married,Adm-clerical,Not-in-family,Black,Female,0,0,40,United-States,<=50K,Private
57,Self-emp-not-inc,175942,Some-college,10,Widowed,Exec-managerial,Other-relative,White,Male,0,0,25,United-States,<=50K,Self-emp-not-inc
53,Self-emp-inc,134793,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024,0,50,United-States,>50K,Self-emp-inc
26,Private,142081,HS-grad,9,Married-civ-spouse,Other-service,Wife,White,Female,0,0,40,Mexico,<=50K,Private
27,Federal-gov,188343,HS-grad,9,Separated,Exec-managerial,Unmarried,Black,Female,0,0,40,United-States,<=50K,Federal-gov
44,Private,111502,HS-grad,9,Married-civ-spouse,Sales,Wife,White,Female,0,0,40,United-States,<=50K,Private
31,Private,156464,Bachelors,13,Never-married,Prof-specialty,Own-child,White,Male,0,0,25,United-States,<=50K,Private
66,?,99888,Assoc-voc,11,Widowed,?,Not-in-family,White,Female,0,0,40,United-States,<=50K,?
18,Private,135315,9th,5,Never-married,Sales,Own-child,Other,Female,0,0,32,United-States,<=50K,Private
48,Self-emp-not-inc,219021,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,35,United-States,>50K,Self-emp-not-inc
56,Private,149686,9th,5,Widowed,Machine-op-inspct,Unmarried,White,Female,0,0,40,United-States,<=50K,Private
65,Self-emp-inc,184965,Doctorate,16,Married-civ-spouse,Exec-managerial,Husband,White,Male,99999,0,40,United-States,>50K,Self-emp-inc
37,Private,193855,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,1902,50,United-States,<=50K,Private
37,Federal-gov,470663,Some-college,10,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,<=50K,Federal-gov
29,Federal-gov,224858,Some-college,10,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,60,United-States,<=50K,Federal-gov
35,Private,217605,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Wife,White,Female,0,0,40,United-States,<=50K,Private
33,Federal-gov,331615,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1848,40,United-States,>50K,Federal-gov
27,Private,410351,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K,Private
36,Private,312206,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,<=50K,Private
20,Private,30035,Assoc-acdm,12,Never-married,Sales,Own-child,White,Female,0,0,40,United-States,<=50K,Private
46,Federal-gov,140664,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,48,United-States,>50K,Federal-gov
20,Private,289405,Some-college,10,Never-married,Sales,Own-child,White,Male,0,1602,15,United-States,<=50K,Private
53,Private,394474,Assoc-acdm,12,Never-married,Adm-clerical,Unmarried,Black,Female,0,0,40,United-States,<=50K,Private
40,Local-gov,138634,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,<=50K,Local-gov
37,Self-emp-not-inc,188774,Bachelors,13,Never-married,Protective-serv,Not-in-family,White,Male,0,0,55,United-States,>50K,Self-emp-not-inc
29,Private,183009,Bachelors,13,Never-married,Prof-specialty,Not-in-family,Other,Female,0,1590,40,United-States,<=50K,Private
34,Private,227689,Assoc-voc,11,Divorced,Tech-support,Not-in-family,White,Female,0,0,64,United-States,<=50K,Private
51,Private,293196,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,15024,0,60,Iran,>50K,Private
22,Private,207940,Some-college,10,Never-married,Handlers-cleaners,Own-child,White,Female,0,0,36,United-States,<=50K,Private
22,Private,316509,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,0,0,50,United-States,<=50K,Private
68,?,257269,Bachelors,13,Married-civ-spouse,?,Husband,White,Male,0,2377,35,United-States,>50K,?
37,Private,94334,7th-8th,4,Never-married,Machine-op-inspct,Own-child,White,Female,0,0,25,United-States,<=50K,Private
44,Self-emp-not-inc,483201,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,<=50K,Self-emp-not-inc
21,Private,205838,HS-grad,9,Never-married,Other-service,Own-child,White,Male,0,0,37,United-States,<=50K,Private
52,Private,177366,HS-grad,9,Separated,Other-service,Other-relative,White,Female,0,0,20,United-States,<=50K,Private
19,Private,166153,Some-college,10,Never-married,Other-service,Own-child,White,Female,0,0,30,United-States,<=50K,Private
53,Private,97005,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,46,United-States,>50K,Private
20,Private,116375,9th,5,Never-married,Sales,Own-child,White,Female,0,0,40,United-States,<=50K,Private
17,Private,250541,10th,6,Never-married,Other-service,Own-child,Black,Male,0,0,20,United-States,<=50K,Private
24,Private,174043,Bachelors,13,Never-married,Other-service,Not-in-family,White,Male,0,0,40,United-States,<=50K,Private
34,Private,178841,Bachelors,13,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,40,United-States,>50K,Private
35,Private,49020,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,60,United-States,>50K,Private
34,Private,202450,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,55,United-States,>50K,Private
44,Private,205051,10th,6,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,<=50K,Private
46,State-gov,162852,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,<=50K,State-gov
28,State-gov,445824,Masters,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,50,United-States,>50K,State-gov
46,Private,188861,Some-college,10,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,<=50K,Private
41,Private,277192,5th-6th,3,Married-civ-spouse,Farming-fishing,Wife,White,Female,0,0,40,Mexico,<=50K,Private
53,Federal-gov,290290,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Male,0,0,45,United-States,<=50K,Federal-gov
20,Private,256240,HS-grad,9,Never-married,Other-service,Own-child,White,Male,0,0,30,United-States,<=50K,Private
22,Private,244366,Bachelors,13,Never-married,Prof-specialty,Own-child,White,Male,0,0,40,United-States,<=50K,Private
26,Private,247025,HS-grad,9,Never-married,Protective-serv,Unmarried,White,Male,0,0,44,United-States,<=50K,Private
39,Private,211154,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,50,United-States,<=50K,Private
45,Private,54260,Some-college,10,Divorced,Craft-repair,Unmarried,White,Male,0,0,99,United-States,<=50K,Private
22,Private,227994,Some-college,10,Married-spouse-absent,Adm-clerical,Own-child,Asian-Pac-Islander,Female,0,0,39,United-States,<=50K,Private
19,State-gov,127085,Some-college,10,Never-married,Other-service,Own-child,White,Male,0,0,10,United-States,<=50K,State-gov
44,Private,721161,Some-college,10,Separated,Machine-op-inspct,Not-in-family,Black,Male,0,0,40,United-States,<=50K,Private
27,Self-emp-inc,120126,9th,5,Never-married,Craft-repair,Own-child,White,Male,0,0,40,United-States,<=50K,Self-emp-inc
35,Private,112512,HS-grad,9,Widowed,Other-service,Own-child,White,Female,0,0,40,United-States,<=50K,Private
29,Private,259226,11th,7,Never-married,Machine-op-inspct,Own-child,White,Male,0,0,48,United-States,<=50K,Private
53,Private,55139,HS-grad,9,Never-married,Farming-fishing,Not-in-family,White,Male,0,0,10,United-States,<=50K,Private
51,Private,158508,Some-college,10,Divorced,Exec-managerial,Not-in-family,White,Female,0,0,36,United-States,<=50K,Private
44,Self-emp-not-inc,83812,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,60,United-States,<=50K,Self-emp-not-inc
42,Private,127314,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,45,United-States,>50K,Private
32,Private,168981,HS-grad,9,Never-married,Adm-clerical,Other-relative,White,Female,0,0,35,United-States,<=50K,Private
48,Private,287480,Masters,14,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United-States,>50K,Private
37,Private,162494,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K,Private
27,Private,50132,Some-college,10,Divorced,Sales,Not-in-family,White,Male,0,0,50,United-States,<=50K,Private
49,State-gov,155372,Masters,14,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,<=50K,State-gov
55,Private,227856,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,7298,0,60,United-States,>50K,Private
51,Self-emp-not-inc,171924,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States,<=50K,Self-emp-not-inc
27,?,189399,Some-college,10,Divorced,?,Not-in-family,White,Female,0,0,40,United-States,<=50K,?
23,Private,69911,Preschool,1,Never-married,Other-service,Own-child,White,Female,0,0,15,United-States,<=50K,Private
41,Private,214242,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1887,40,United-States,>50K,Private
22,Private,191342,Bachelors,13,Never-married,Sales,Own-child,Asian-Pac-Islander,Male,0,0,50,Taiwan,<=50K,Private
18,Private,404868,11th,7,Never-married,Sales,Own-child,Black,Female,0,1602,20,United-States,<=50K,Private
49,Private,165468,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,7688,0,55,United-States,>50K,Private
35,Private,181020,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,60,United-States,<=50K,Private
39,Self-emp-inc,135500,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1977,40,United-States,>50K,Self-emp-inc
24,Private,224954,Some-college,10,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,40,United-States,<=50K,Private
18,State-gov,389147,HS-grad,9,Never-married,Sales,Not-in-family,Black,Female,0,0,30,United-States,<=50K,State-gov
51,Private,269080,7th-8th,4,Widowed,Other-service,Unmarried,Black,Female,0,0,40,United-States,<=50K,Private
23,Private,256628,7th-8th,4,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,32,United-States,<=50K,Private
43,Self-emp-inc,150533,Assoc-voc,11,Married-civ-spouse,Exec-managerial,Other-relative,White,Male,0,0,50,United-States,>50K,Self-emp-inc
22,Private,269474,Some-college,10,Never-married,Adm-clerical,Own-child,White,Male,0,0,10,United-States,<=50K,Private
30,Private,76107,HS-grad,9,Never-married,Transport-moving,Not-in-family,White,Male,0,0,45,United-States,>50K,Private
20,Private,236804,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,40,United-States,<=50K,Private
46,Private,128460,10th,6,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,<=50K,Private
45,Private,102076,Some-college,10,Divorced,Prof-specialty,Unmarried,White,Female,0,0,32,United-States,<=50K,Private
35,Private,343403,Some-college,10,Never-married,Sales,Not-in-family,White,Female,0,0,40,United-States,<=50K,Private
68,?,65730,HS-grad,9,Married-civ-spouse,?,Husband,White,Male,0,0,25,United-States,<=50K,?
34,State-gov,61431,12th,8,Never-married,Adm-clerical,Not-in-family,Black,Female,0,0,40,United-States,<=50K,State-gov
34,Private,506858,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,32,United-States,>50K,Private
17,Private,56536,11th,7,Never-married,Sales,Own-child,White,Female,1055,0,18,India,<=50K,Private
29,State-gov,95423,Masters,14,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,36,United-States,<=50K,State-gov
48,Private,268234,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,0,0,50,United-States,<=50K,Private
37,Private,30267,11th,7,Never-married,Transport-moving,Not-in-family,White,Male,0,0,60,United-States,>50K,Private
58,Self-emp-not-inc,140729,Bachelors,13,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,35,United-States,<=50K,Self-emp-not-inc
69,Self-emp-not-inc,128206,HS-grad,9,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,30,United-States,<=50K,Self-emp-not-inc
43,Private,193494,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,<=50K,Private
47,Private,82797,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,<=50K,Private
42,Private,169628,Some-college,10,Divorced,Adm-clerical,Not-in-family,Black,Female,0,0,38,United-States,<=50K,Private
34,?,157289,HS-grad,9,Married-civ-spouse,?,Husband,White,Male,0,0,40,United-States,<=50K,?
41,Private,185132,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,45,United-States,<=50K,Private
21,Private,113106,Some-college,10,Never-married,Other-service,Own-child,White,Female,0,0,30,United-States,<=50K,Private
30,Private,220939,Assoc-voc,11,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,40,United-States,<=50K,Private
21,Private,62339,10th,6,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,40,United-States,<=50K,Private
50,Private,50178,HS-grad,9,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United-States,>50K,Private
54,Local-gov,172991,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,<=50K,Local-gov
30,Private,108386,Assoc-acdm,12,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K,Private
35,Private,289106,Assoc-acdm,12,Separated,Sales,Unmarried,White,Male,0,0,40,United-States,<=50K,Private
31,Private,178370,HS-grad,9,Divorced,Other-service,Unmarried,White,Female,0,0,99,United-States,>50K,Private
67,Local-gov,342175,Masters,14,Divorced,Adm-clerical,Not-in-family,White,Female,2009,0,40,United-States,<=50K,Local-gov
36,Private,254493,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,44,United-States,<=50K,Private
26,Private,369166,Some-college,10,Never-married,Farming-fishing,Other-relative,White,Female,0,0,65,United-States,<=50K,Private
56,Private,282023,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,<=50K,Private
40,Private,266803,Assoc-acdm,12,Divorced,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,>50K,Private
41,Self-emp-inc,149102,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,35,United-States,>50K,Self-emp-inc
35,Private,77146,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,45,United-States,>50K,Private
50,Federal-gov,159670,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,>50K,Federal-gov
47,Self-emp-not-inc,172034,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,75,United-States,>50K,Self-emp-not-inc
29,Private,236436,Assoc-acdm,12,Never-married,Prof-specialty,Not-in-family,White,Female,8614,0,40,United-States,>50K,Private
30,Private,609789,11th,7,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,60,Mexico,<=50K,Private
63,Private,200127,HS-grad,9,Widowed,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K,Private
50,Self-emp-inc,198400,HS-grad,9,Married-civ-spouse,Sales,Husband,Black,Male,0,0,60,United-States,<=50K,Self-emp-inc
66,Local-gov,188220,HS-grad,9,Widowed,Adm-clerical,Unmarried,White,Female,0,0,35,United-States,>50K,Local-gov
26,Federal-gov,48099,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,<=50K,Federal-gov
33,Private,241885,Some-college,10,Separated,Machine-op-inspct,Not-in-family,White,Male,0,0,40,United-States,<=50K,Private
57,Self-emp-inc,103948,Bachelors,13,Divorced,Prof-specialty,Not-in-family,White,Male,0,0,80,United-States,<=50K,Self-emp-inc
45,Private,197418,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,48,United-States,<=50K,Private
52,Self-emp-inc,138497,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,60,United-States,<=50K,Self-emp-inc
28,Private,156819,HS-grad,9,Divorced,Handlers-cleaners,Unmarried,White,Female,0,0,36,United-States,<=50K,Private
20,Private,47678,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,0,0,40,United-States,<=50K,Private
54,Self-emp-not-inc,91506,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,65,United-States,<=50K,Self-emp-not-inc
31,Private,87891,Assoc-acdm,12,Married-civ-spouse,Sales,Husband,White,Male,0,0,60,United-States,<=50K,Private
30,Self-emp-not-inc,20098,Assoc-voc,11,Divorced,Machine-op-inspct,Not-in-family,White,Female,0,0,40,United-States,<=50K,Self-emp-not-inc
25,Private,248990,5th-6th,3,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,40,Mexico,<=50K,Private
40,Private,145439,5th-6th,3,Married-civ-spouse,Other-service,Husband,Other,Male,4064,0,40,Mexico,<=50K,Private
23,Federal-gov,41031,Some-college,10,Never-married,Sales,Not-in-family,White,Female,0,0,35,United-States,<=50K,Federal-gov
33,Private,178506,HS-grad,9,Divorced,Adm-clerical,Not-in-family,Black,Female,0,0,40,United-States,<=50K,Private
64,Self-emp-not-inc,178472,9th,5,Separated,Transport-moving,Not-in-family,White,Male,0,0,45,United-States,<=50K,Self-emp-not-inc
21,Private,179720,HS-grad,9,Never-married,Other-service,Other-relative,White,Female,0,0,30,United-States,<=50K,Private
37,Private,121521,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,15024,0,45,United-States,>50K,Private
48,State-gov,85384,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K,State-gov
41,Private,187881,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,3942,0,40,United-States,<=50K,Private
61,Self-emp-inc,139391,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,1902,35,United-States,>50K,Self-emp-inc
21,Private,334113,HS-grad,9,Never-married,Machine-op-inspct,Own-child,White,Male,0,0,40,United-States,<=50K,Private
46,Private,216666,9th,5,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,Guatemala,<=50K,Private
22,Private,344176,HS-grad,9,Never-married,Sales,Unmarried,White,Male,0,0,20,United-States,<=50K,Private
37,Local-gov,31023,Some-college,10,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United-States,<=50K,Local-gov
56,Private,105363,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,4508,0,40,United-States,<=50K,Private
35,Private,26987,HS-grad,9,Separated,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K,Private
61,Self-emp-not-inc,392694,Some-college,10,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,50,United-States,>50K,Self-emp-not-inc
55,Private,276229,HS-grad,9,Widowed,Sales,Not-in-family,White,Female,0,0,38,United-States,<=50K,Private
36,Self-emp-inc,184456,Bachelors,13,Never-married,Tech-support,Not-in-family,White,Male,27828,0,55,United-States,>50K,Self-emp-inc
61,Private,180632,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,<=50K,Private
33,Private,132601,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45,United-States,<=50K,Private
45,Private,255014,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,55,United-States,>50K,Private
